Airline Name | Title | Rating | Verified | Review_Text

Air China | "the comfort is a big no"  | 1 | Not Verified | Old plane, very uncomfortable! I never had such a small plane with no room for you feet for this long duration of flight (13+hours). Food was okay, but the comfort is a big no! Never flying again with this airline.
Air China | "Worst business class seat" | 1 | Not Verified | Worst business class seat in the business. Plane must have dated to the 80s.  Dirty carpet and smelled. Nothing like you see on YouTube. I would avoid this airline at all cost if flying business.
Air China | "the most uncomfortable flights" | 1 | ✅ Trip Verified | This was one of the most uncomfortable flights I have ever been on. I had initially booked with Cathay Pacific (flight CX6122) from Hong Kong to Chengdu, expecting their usual high standards. However, it turned out to be a joint flight operated by Air China (flight 412), and the experience was disappointing. The plane felt old-fashioned (A320-200), with cramped seats, no in-flight entertainment, no Wi-Fi, and little legroom. The cleanliness was lacking, and the quality of the food was disappointing. Adding to the discomfort, some passengers were loud, others were inconsiderate, and the cabin was filled with foul odors. When I asked the crew for help, I was surprised that the flight attendants could not speak English, which made communication difficult. Fortunately, after trying to communicate with two of them, a third flight attendant came. She spoke English and was kind and helpful, and eventually moved my daughter and me to better seats. Upon landing, several passengers ignored basic etiquette, got up prematurely, and acted in a disruptive manner. This flight was more like a crowded public bus than a flying experience. While Cathay Pacific is a reputable airline, the codeshare partnership with Air China could be damaging to its brand. I hope they reconsider these arrangements to maintain their high standards.
Air China | "Very bad service" | 1 | Not Verified | The only advantage of this airline is that it has on-time flying times. Other than that, very disappointing. Jakarta to Shanghai flight with transit in Beijing. Imagine, a transit that was originally 2 hours 45 minutes was rescheduled to 2 hours 15 minutes, even during transit we had to take care of moving our own baggage. Our family ended up going to pieces taking care of everything in a very short time. Other airlines, if baggage transfer during transit is handled by themselves, they will give a warning. Meanwhile this is not listed. We feel like we were cheated. When we returned from Tokyo to Jakarta, we had a 24 hour transit in Beijing. The information we got was that we could get a 24h free entry visa, but apparently we couldn't for unclear reasons. Finally we couldn't check in at the hotel we had booked and my money was forfeited. Because I landed in Beijing at 9 pm.  There are no transit hotels at Beijing airport. The staff who were asked did not understand. Once there is a "Paid Lounge" the prices are very unreasonable. The price set is around 3.7 million rupiah for a full day! 2 million rupiah for just 5 hours! And that's the only hotel there is, there are no other hotels. Other airlines provide transit hotels if the transit lasts more than a few hours! Finally, our family was like homeless people waiting 24 hours for our next flight! I will not use this airline again. Very bad service!  Keunggulan maskapai ini hanya waktu terbang yang ontime. Lain dari itu sangat mengecewakan. Penerbangan Jakarta to Shanghai dengan transit di Beijing. Bayangkan, transit yang awalnya 2 jam 45 menit di reschedule menjadi 2 jam 15 menit, pada saat transit pun kita harus mengurus perpindahan bagasi sendiri. Kami sekeluarga akhirnya kocar kacir mengurus semuanya dengan waktu yg sangat singkat. Maskapai lain, jika perpindahan bagasi saat transit diurus sendiri, mereka akan memberikan peringatan. Sedangkang ini tidak dicantumkan. Kami merasa seperti tertipu. Pada saat kepulangan kami dari Tokyo ke Jakarta, kami transit 24jam di Beijing. Informasi yg kami dapatkan, kita bisa mendapatkan visa free entry 24h, tapi ternyata tidak bisa dengan alasan yg tidak jelas. Akhirnya kami tidak bisa check in di hotel yang sudah kami booking dan uang saya hangus. Karna saya landing di Beijing pada pukul 9 malam.  Di dalam bandara Beijing pun tidak ada hotel transit. Para staff yang di tanya tidak ada yg mengerti. Sekalinya ada "Paid Lounge" harganya sangat2 tidak masuk akal. Harga yang dipasang skeitar 3,7 juta rupiah untuk full day! 2 juta rupiah untuk 5jam saja! Dan itu hanya satu2nya hotel yg ada, tidak ada hotel lain. Maskapai lain memberikan hotel transit jika transit lebih dari sekian jam! Akhirnya kami sekeluarga seperti gelandangan menunggu 24 jam penerbangan kami selanjutnya! Saya tidak akan menggunakan maskapai ini lagi. Pelayanan sangat busuk sekali!
Air China | "flight was very comfortable" | 8 | ✅ Trip Verified | First time travelled with Air China long haul. Being British with links to Hong Kong, we’ve mostly travelled with British Airways and Cathay Pacific in the past. With our holiday planning to Japan we had come across the attractive airfare offered by Air China in comparison with other well known international airlines. At first we were worried about the quality of flight experience and even fellow travellers on the planes. After reading on line reviews and watching You Tube clips. The thing that helped us make our decision wasn’t the price alone but the fact we could make a visa free 3 day stay over in Shanghai on our transit back to London. Basically two holidays in one trip. In my personal experience with Air China, we travelled on A350-900 aircraft to Shanghai. The flight was very comfortable, legroom was more than other airlines we travelled with on Economy. My daughter suffered from severe travel sickness and could not eat so they put a special sticker to show that. The flight attendants were very caring and attentive towards her. The toilets were well maintained compared to other airlines towards the end of the flight would be really dirty. Food was nothing special but not awful , good enough to keep you from being starved. Transit from Shanghai Pudong to Japan Narita was 3 hours but did not feel too long whereas in reality the whole trip (2 legs) were quite tiring indeed. We checked in on line with no problems however one of the legs did require us to collect our boarding passes from the airport rather than getting QR code to use from our mobile phones. Pudong to Narita was on a smaller aircraft and older but nothing to complain about as the in flight service was just as good. On our way returning to London, we encountered a little from at Narita . Although we had paid and reserved our chosen seats the system did not show that and two of us had been moved to less desirable seats further back. We explained the situation at the checkin counter and the ground staff sorted it efficiently offering us seats that were even better than the ones we originally chose. We had a seamless stay over in Shanghai for 3 days, luggage were collected at Pudong without any problems. The return flight from Pudong to London Gatwick was just as great. I hope people who have read negative stuff about Air China can give them a go to experience how good they really are. Do not get put off by some bad reviews they may have read on line.
Air China | "food was wonderful" | 8 | Not Verified | The flight was great! However, it could still improve. Bring your own tablets as the IFE systems were kind of laggy and the choices were very limited. The seats were quite hard and on my 2nd flight, the seat recline was broken, so I had to manually force it back to the original position. The food was wonderful and so were the staff.
Air China | “flight attendants were kind” | 7 | Not Verified | Pros——- The flight attendants were kind and helped us with the wifi for 15 minutes. Very helpful, =mindful and demure. The food was great, I was not expecting that. Legroom was wonderful. Me being 1.83m, there was easily lots of legroom. Theseat was hard, IFE sucked and dirty floors.
Air China | "experience was appalling" | 1 | ✅ Trip Verified | Today at Kansai Airport, my experience with Air China at counter 25 was appalling. The staff member on duty, demonstrated an unacceptable level of rudeness and complete disregard for customer service. They were dismissive, unhelpful, and unprofessional, causing significant delays and making an already stressful travel situation even worse. I expect much better from an international airline, especially at a major hub like Kansai. Passengers deserve respect, efficiency, and professionalism, none of which were provided by Air China today.
Air China | "the toilets were filthy" | 5 | Not Verified | I flew from Beijing to Geneva for over ten hours last week. Everything was ok, reasonable except for the toilets, which were filthy. Passengers used them all the time, and I don't think the flight attendants were cleaning them properly. I only used them once, and after that the whole flight I had to hold in the urge to pee, which was really bad.
Air China | "I will never fly with them again" | 1 | ✅ Trip Verified | Both international planes were probably the dirtiest I have ever seen. To give you examples, the bathroom shelves were covered in dust and old hairs. The main ceiling looked like it had mould on it. The padding on the chairs (which did not look too old) was so thin that I could feel the plastic backing (much worse than Ryanair etc). The food was terrible - the cooked part was like something from a very cheap microwave meal. The server said they had run out of wine (this is an international flight!) and then when he opened the drawer, I saw a bottle unopened. I have flown many times in many countries in Asia but I’ve never heard a safety announcement spend time explaining how you could be arrested for various unknown crimes. International Air China flights have security agents walking around carrying cameras. I will never fly with them again and suggest nobody does.
Air France | "does business class very well" | 1 | ✅ Trip Verified | Air France does business class very well. Other than the economy style seats for business class flights within Europe, the rest of the business class experience is top notch. Incredible service, great food and drinks offered for a short flight and a fabulous airline lounge in CDG Terminal 2F. Airport staff at both CDG and MRS airports were professional and courteous during the Sky Priority check-in areas. Highly recommend flying business class with AF.
Air France | "Great service on a full flight" | 1 | ✅ Trip Verified | Great service on a full flight. Although the flight was short (45 minutes in the air), the cabin crew served a (free) sandwich (Mediterranean vegetable flavour) and a choice of drink. This is more than their main competitor provides on this route. The crew was cheerful and friendly and carried out their duties efficiently. I was pleased to see they enforced their own safety rules- asking people to disconnect USB cables during take-off and landing (as it would be a trip hazard in an emergency). Despite taking off late from Heathrow (partly due to slow boarding as there was too much hand luggage in the cabin, and partly airport traffic congestion), we still arrived on time in Paris. Based on this experience, I would be willing to fly Air France again and perhaps transit through Paris to long haul destinations.
Air France | "requested flight cancellation compensation"  | 5 | ✅ Trip Verified | ORD-CDG economy return. Flight to CDG was uneventful. Flight back was cancelled, I was rerouted via JFK on DL. The issues started when I requested flight cancellation compensation, as per EU law. I submitted my US bank account details, and AF told me that they tried to transfer the money, but the transfer was "rejected". Did not respond when I asked for details. I do not buy this. Now they promised to send the money to my daughter's account in the UK. Hopefully this will work.
Air France | "excellent customer service" | 1 | ✅ Trip Verified | My son was travelling on Kids Solo as an unaccompanied Minor with a 1h40 stop over in Paris. The departure from Dublin was delayed by 1 hour. The agents Mustafa and Laura at the check in counter went out of their way to arrange a new flight with KLM arriving half an hour earlier than the original flight. They were extremely helpful and understanding. We were very impressed with their professional approach and excellent customer service.
